jongmok,date,time,price,gap
A005930,20210402,0954,84600,1700
A005930,20210402,0953,84800,1900
A005930,20210402,0952,84700,1800
A005930,20210402,0951,84700,1800
A122630,20210402,0950,27545,675
A122630,20210402,0949,27550,680
A122630,20210402,0948,27550,680
A122630,20210402,0947,27540,670
A122630,20210402,0946,27525,655
A122630,20210402,0945,27510,640
A122630,20210402,0944,27495,625
A122630,20210402,0943,27510,640
A122630,20210402,0942,27515,645
A122630,20210402,0941,27520,650
A005930,20210402,0950,84600,1700
A005930,20210402,0949,84700,1800
A005930,20210402,0948,84700,1800
A005930,20210402,0947,84700,1800
A005930,20210402,0946,84700,1800
A005930,20210402,0945,84600,1700
A005930,20210402,0944,84600,1700
A005930,20210402,0943,84700,1800
A005930,20210402,0942,84700,1800
A005930,20210402,0941,84700,1800
A122630,20210402,0940,27510,640
A122630,20210402,0939,27515,645
A122630,20210402,0938,27540,670
A122630,20210402,0937,27535,665
A122630,20210402,0936,27545,675
A122630,20210402,0935,27565,695
A122630,20210402,0934,27540,670
A122630,20210402,0933,27540,670
A122630,20210402,0932,27575,705
A122630,20210402,0931,27560,690
A005930,20210402,0940,84700,1800
A005930,20210402,0939,84700,1800
A005930,20210402,0938,84700,1800
A005930,20210402,0937,84800,1900
A005930,20210402,0936,84800,1900
A005930,20210402,0935,84800,1900
A005930,20210402,0934,84900,2000
A005930,20210402,0933,84900,2000
A005930,20210402,0932,84900,2000
A005930,20210402,0931,84800,1900
A122630,20210402,0930,27605,735
A122630,20210402,0929,27610,740
A122630,20210402,0928,27615,745
A122630,20210402,0927,27605,735
A122630,20210402,0926,27615,745
A122630,20210402,0925,27615,745
A122630,20210402,0924,27570,700
A122630,20210402,0923,27605,735
A122630,20210402,0922,27610,740
A122630,20210402,0921,27620,750
A005930,20210402,0930,85000,2100
A005930,20210402,0929,84900,2000
A005930,20210402,0928,85000,2100
A005930,20210402,0927,85000,2100
A005930,20210402,0926,85000,2100
A005930,20210402,0925,85000,2100
A005930,20210402,0924,84800,1900
A005930,20210402,0923,85000,2100
A005930,20210402,0922,84900,2000
A005930,20210402,0921,84900,2000
A122630,20210402,0920,27640,770
A122630,20210402,0919,27590,720
A122630,20210402,0918,27575,705
A122630,20210402,0917,27545,675
A122630,20210402,0916,27525,655
A122630,20210402,0915,27535,665
A122630,20210402,0914,27545,675
A122630,20210402,0913,27540,670
A122630,20210402,0912,27570,700
A122630,20210402,0911,27580,710
A005930,20210402,0920,85000,2100
A005930,20210402,0919,84900,2000
A005930,20210402,0918,84700,1800
A005930,20210402,0917,84800,1900
A005930,20210402,0916,84700,1800
A005930,20210402,0915,84700,1800
A005930,20210402,0914,84700,1800
A005930,20210402,0913,84800,1900
A005930,20210402,0912,84900,2000
A005930,20210402,0911,84900,2000
A122630,20210402,0910,27570,700
A122630,20210402,0909,27590,720
A122630,20210402,0908,27560,690
A122630,20210402,0907,27515,645
A122630,20210402,0906,27480,610
A122630,20210402,0905,27415,545
A122630,20210402,0904,27400,530
A122630,20210402,0903,27415,545
A122630,20210402,0902,27385,515
A122630,20210402,0901,27445,575
A005930,20210402,0910,84900,2000
A005930,20210402,0909,85200,2300
A005930,20210402,0908,85000,2100
A005930,20210402,0907,84900,2000
A005930,20210402,0906,84800,1900
A005930,20210402,0905,84300,1400
A005930,20210402,0904,84200,1300
A005930,20210402,0903,84200,1300
A005930,20210402,0902,84400,1500
A005930,20210402,0901,84400,1500
A122630,20210402,0900,27360,490
A005930,20210402,0900,84200,1300
A122630,20210405,1530,27590,105
A122630,20210405,1519,27590,105
A122630,20210405,1518,27595,110
A122630,20210405,1517,27600,115
A122630,20210405,1516,27595,110
A122630,20210405,1515,27590,105
A122630,20210405,1514,27590,105
A122630,20210405,1513,27595,110
A122630,20210405,1512,27590,105
A122630,20210405,1511,27580,95
A005930,20210405,1530,85400,600
A005930,20210405,1519,85400,600
A005930,20210405,1518,85400,600
A005930,20210405,1517,85400,600
A005930,20210405,1516,85400,600
A005930,20210405,1515,85400,600
A005930,20210405,1514,85400,600
A005930,20210405,1513,85400,600
A005930,20210405,1512,85400,600
A005930,20210405,1511,85300,500
A122630,20210405,1510,27565,80
A122630,20210405,1509,27575,90
A122630,20210405,1508,27575,90
A122630,20210405,1507,27590,105
A122630,20210405,1506,27590,105
A122630,20210405,1505,27590,105
A122630,20210405,1504,27595,110
A122630,20210405,1503,27570,85
A122630,20210405,1502,27570,85
A122630,20210405,1501,27575,90
A005930,20210405,1510,85300,500
A005930,20210405,1509,85300,500
A005930,20210405,1508,85400,600
A005930,20210405,1507,85300,500
A005930,20210405,1506,85400,600
A005930,20210405,1505,85400,600
A005930,20210405,1504,85300,500
A005930,20210405,1503,85400,600
A005930,20210405,1502,85400,600
A005930,20210405,1501,85400,600
A122630,20210405,1500,27575,90
A122630,20210405,1459,27580,95
A122630,20210405,1458,27580,95
A122630,20210405,1457,27570,85
A122630,20210405,1456,27590,105
A122630,20210405,1455,27585,100
A122630,20210405,1454,27605,120
A122630,20210405,1453,27605,120
A122630,20210405,1452,27600,115
A122630,20210405,1451,27620,135
A005930,20210405,1500,85400,600
A005930,20210405,1459,85300,500
A005930,20210405,1458,85400,600
A005930,20210405,1457,85300,500
A005930,20210405,1456,85300,500
A005930,20210405,1455,85400,600
A005930,20210405,1454,85400,600
A005930,20210405,1453,85400,600
A005930,20210405,1452,85400,600
A005930,20210405,1451,85400,600
A122630,20210405,1450,27615,130
A122630,20210405,1449,27610,125
A122630,20210405,1448,27620,135
A122630,20210405,1447,27615,130
A122630,20210405,1446,27620,135
A122630,20210405,1445,27620,135
A122630,20210405,1444,27635,150
A122630,20210405,1443,27630,145
A122630,20210405,1442,27630,145
A122630,20210405,1441,27640,155
A005930,20210405,1450,85300,500
A005930,20210405,1449,85300,500
A005930,20210405,1448,85300,500
A005930,20210405,1447,85400,600
A005930,20210405,1446,85400,600
A005930,20210405,1445,85300,500
A005930,20210405,1444,85300,500
A005930,20210405,1443,85400,600
A005930,20210405,1442,85300,500
A005930,20210405,1441,85400,600
A122630,20210405,1440,27630,145
A122630,20210405,1439,27615,130
A122630,20210405,1438,27625,140
