날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.14,4185,45,4110,4260,4110,398688,대양금속
2022.03.11,4140,40,4180,4260,4120,312495,대양금속
2022.03.10,4180,100,4260,4280,4100,397954,대양금속
2022.03.08,4280,65,4620,4880,4275,3183891,대양금속
2022.03.22,7070,80,6980,7090,6970,1406865,대우건설
2022.03.21,6990,140,7120,7140,6970,2061507,대우건설
2022.03.18,7130,80,7050,7130,6980,2454932,대우건설
2022.03.17,7050,130,7290,7300,7010,3734645,대우건설
2022.03.16,7180,80,7130,7330,7010,4314964,대우건설
2022.03.15,7100,200,7240,7340,7010,4146306,대우건설
2022.03.14,7300,20,7330,7510,7260,5283200,대우건설
2022.03.11,7320,320,7010,7320,6950,7712596,대우건설
2022.03.10,7000,260,6990,7050,6820,7255167,대우건설
2022.03.08,6740,280,6910,7020,6700,5349873,대우건설
2022.03.22,91400,100,91400,92700,90400,89796,대주전자재료
2022.03.21,91300,400,92700,93500,91300,138044,대주전자재료
2022.03.18,91700,2800,89600,91700,88800,195480,대주전자재료
2022.03.17,88900,4800,86800,89800,86000,231158,대주전자재료
2022.03.16,84100,2900,83400,84900,82200,140756,대주전자재료
2022.03.15,81200,300,80700,82400,79300,155490,대주전자재료
